Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
dennis novak,evan king,"French Open, Paris",28-May-18,Clay,Qualifying,217,196,0,2,12,4,1,24,27,8,11,4,6,19,34,51,0,3,1,1,11,21,4,13,0,0,6,38,21
constant lestienne,filip peliwo,"French Open, Paris",28-May-18,Clay,Qualifying,215,170,0,2,13,3,2,25,34,9,21,6,10,33,59,67,0,7,2,3,17,35,9,24,3,5,21,55,47
alessandro giannessi,gerald melzer,"French Open, Paris",28-May-18,Clay,Qualifying,199,111,0,2,13,0,4,29,41,7,17,5,10,37,70,73,0,8,0,4,25,45,8,25,3,3,22,58,55
jurgen melzer,gleb sakharov,"French Open, Paris",28-May-18,Clay,Qualifying,.,210,0,2,16,1,3,41,57,14,25,5,6,33,73,88,1,9,4,8,23,32,17,41,2,8,27,82,67
akira santillan,go soeda,"French Open, Paris",28-May-18,Clay,Qualifying,209,180,0,2,12,0,0,21,29,12,18,5,6,27,48,60,0,4,0,2,14,33,7,15,1,4,14,47,35
denis kudla,guilherme clezar,"French Open, Paris",28-May-18,Clay,Qualifying,113,231,0,2,19,13,7,43,58,29,51,4,7,35,98,107,1,15,7,2,40,56,23,42,1,8,37,109,100
jurgen zopp,hugo gaston,"French Open, Paris",28-May-18,Clay,Qualifying,136,.,0,2,17,3,1,40,49,19,36,4,12,48,111,107,1,13,4,7,36,58,27,53,2,6,26,85,89
hubert hurkacz,hugo grenier,"French Open, Paris",28-May-18,Clay,Qualifying,188,381,0,2,12,4,2,21,27,15,26,4,7,27,56,63,0,5,1,0,18,26,11,30,1,2,17,53,46
hugo dellien,illya marchenko,"French Open, Paris",28-May-18,Clay,Qualifying,145,279,0,2,12,1,2,33,55,2,7,6,11,33,58,68,0,6,0,2,23,41,2,17,3,8,27,62,52
thanasi kokkinakis,jaimee floyd angele,"French Open, Paris",28-May-18,Clay,Qualifying,148,.,0,2,13,6,2,26,35,14,23,4,8,40,90,80,1,10,7,9,37,54,13,36,2,4,18,58,68
lorenzo sonego,jason jung,"French Open, Paris",28-May-18,Clay,Qualifying,125,151,0,2,12,2,1,24,29,12,23,4,5,25,55,61,0,6,1,1,17,32,13,23,1,5,16,52,46
goncalo oliveira,jason kubler,"French Open, Paris",28-May-18,Clay,Qualifying,218,159,0,2,13,2,2,37,55,14,27,4,5,29,69,80,0,7,0,6,30,48,10,21,1,10,31,82,71
ilya ivashka,joao domingues,"French Open, Paris",28-May-18,Clay,Qualifying,119,271,0,2,14,5,1,45,60,18,40,3,5,24,65,87,0,10,2,1,31,42,10,23,1,13,37,100,78
oscar otte,johan sebastien tatlot,"French Open, Paris",28-May-18,Clay,Qualifying,156,329,0,2,12,1,0,15,23,19,22,4,5,25,51,59,0,4,1,5,14,27,12,24,0,2,11,45,37
corentin denolly,john-patrick smith,"French Open, Paris",28-May-18,Clay,Qualifying,430,198,0,2,16,8,3,42,48,16,44,5,7,32,80,90,1,13,3,0,32,50,16,30,4,9,34,92,82
nino serdarusic,kamil majchrzak,"French Open, Paris",28-May-18,Clay,Qualifying,201,189,0,2,12,4,6,22,29,16,31,4,9,26,56,64,0,7,0,0,22,34,8,22,2,5,22,60,52
viktor galovic,kenny de schepper,"French Open, Paris",28-May-18,Clay,Qualifying,181,184,0,2,13,2,0,37,46,14,26,2,5,26,74,77,0,9,3,4,41,55,7,19,0,0,21,72,69
andrej martin,kevin king,"French Open, Paris",28-May-18,Clay,Qualifying,162,169,0,2,13,0,7,24,33,14,27,5,12,34,68,72,0,7,1,2,23,38,11,30,2,3,22,60,56
zbynek mlynarik,liam broady,"French Open, Paris",28-May-18,Clay,Qualifying,247,164,0,2,14,1,0,37,52,15,26,2,4,34,85,86,0,12,2,0,30,51,21,34,2,3,26,78,77
felix auger-aliassime,lloyd harris,"French Open, Paris",28-May-18,Clay,Qualifying,178,214,0,2,12,6,1,25,37,11,21,4,4,23,53,59,0,7,2,2,19,29,11,24,2,4,22,58,52
uladzimir ignatik,marc polmans,"French Open, Paris",28-May-18,Clay,Qualifying,202,177,0,2,18,6,5,44,53,18,39,4,7,30,90,92,1,15,1,5,42,54,18,36,3,4,30,92,90
stefano napolitano,marcel granollers,"French Open, Paris",28-May-18,Clay,Qualifying,205,132,0,2,12,1,4,21,29,14,26,5,20,42,78,77,0,5,1,3,25,49,11,29,2,6,20,55,56
pedro sousa,mats moraing,"French Open, Paris",28-May-18,Clay,Qualifying,120,153,0,2,17,4,6,51,71,10,22,4,9,39,97,100,1,15,7,5,42,63,16,34,3,7,32,93,90
thomaz bellucci,matthias bachinger,"French Open, Paris",28-May-18,Clay,Qualifying,278,154,0,2,12,6,1,30,44,11,20,3,7,17,48,58,0,7,1,2,27,35,4,13,1,5,23,64,54
juan ignacio londero,nikola milojevic,"French Open, Paris",28-May-18,Clay,Qualifying,172,191,0,2,12,3,2,29,36,12,21,3,7,27,65,68,0,7,1,2,27,44,11,21,0,3,16,57,54
peter polansky,norbert gombos,"French Open, Paris",28-May-18,Clay,Qualifying,124,167,0,2,15,5,1,34,52,25,38,2,6,42,103,101,1,14,7,2,42,59,19,44,2,2,31,90,92
marcelo arevalo,pedro martinez,"French Open, Paris",28-May-18,Clay,Qualifying,144,250,0,2,17,9,5,46,72,17,38,5,8,43,107,106,1,16,1,4,42,66,22,41,5,15,47,110,111
jay clarke,ramkumar ramanathan,"French Open, Paris",28-May-18,Clay,Qualifying,224,121,0,2,17,4,5,39,53,18,39,6,14,44,96,101,1,11,4,4,35,60,17,36,3,13,35,92,87
marco trungelliti,renzo olivo,"French Open, Paris",28-May-18,Clay,Qualifying,190,219,0,2,13,2,6,29,43,11,26,6,13,36,73,76,0,8,2,4,28,39,9,34,3,10,29,69,66
facundo bagnis,ricardo ojeda lara,"French Open, Paris",28-May-18,Clay,Qualifying,203,187,0,2,13,6,4,23,29,19,31,4,5,26,52,68,0,6,1,0,16,31,10,21,1,3,18,60,44
prajnesh gunneswaran,salvatore caruso,"French Open, Paris",28-May-18,Clay,Qualifying,183,228,0,2,12,7,0,31,42,11,20,3,12,31,75,73,0,8,4,1,32,48,12,27,1,7,20,62,64
daniel gimeno-traver,sebastian ofner,"French Open, Paris",28-May-18,Clay,Qualifying,212,147,0,2,12,4,0,25,41,6,14,6,14,38,74,69,0,8,1,3,24,43,12,31,4,6,24,55,60
yasutaka uchiyama,stefan kozlov,"French Open, Paris",28-May-18,Clay,Qualifying,234,176,0,2,13,4,2,29,38,16,29,3,9,30,73,75,0,9,0,4,32,51,11,22,1,4,22,67,65
ernests gulbis,stephane robert,"French Open, Paris",28-May-18,Clay,Qualifying,160,168,0,2,13,9,8,27,41,14,29,5,11,36,72,77,0,9,1,3,19,37,17,35,3,10,29,70,65
martin klizan,sumit nagal,"French Open, Paris",28-May-18,Clay,Qualifying,117,220,0,2,16,6,3,34,50,18,31,5,12,39,87,91,1,11,1,2,32,59,16,28,3,9,29,81,77
reilly opelka,tallon griekspoor,"French Open, Paris",28-May-18,Clay,Qualifying,142,229,0,2,13,4,1,32,38,12,23,3,4,27,62,71,0,8,1,3,23,33,12,29,1,2,17,61,52
casper ruud,thiago monteiro,"French Open, Paris",28-May-18,Clay,Qualifying,157,123,0,2,12,2,2,25,33,10,20,4,8,26,56,61,0,6,1,3,19,30,11,26,1,2,18,53,48
jaume munar,tim smyczek,"French Open, Paris",28-May-18,Clay,Qualifying,155,118,0,2,13,4,0,31,38,15,30,4,4,27,58,73,0,8,4,3,19,36,12,22,2,6,22,68,53
simone bolelli,tommy robredo,"French Open, Paris",28-May-18,Clay,Qualifying,129,166,0,2,12,0,1,28,41,8,14,4,14,31,67,67,0,8,5,1,30,42,6,25,2,2,19,55,55
ruben bemelmans,ugo humbert,"French Open, Paris",28-May-18,Clay,Qualifying,110,296,0,2,18,8,7,53,70,19,36,3,8,43,108,115,1,14,6,7,38,56,27,52,1,8,34,106,99
taro daniel,victor estrella burgos,"French Open, Paris",28-May-18,Clay,Qualifying,82,163,0,2,16,2,0,30,38,17,27,5,10,34,78,81,1,10,7,2,26,45,18,33,2,3,18,65,62
carlos taberner,yannick maden,"French Open, Paris",28-May-18,Clay,Qualifying,213,126,0,2,13,0,2,34,48,9,17,4,9,30,61,73,0,6,0,1,20,32,11,29,1,2,22,65,53
alexandre muller,akira santillan,"French Open, Paris",28-May-18,Clay,Qualifying,376,209,0,2,15,1,1,35,57,4,11,8,11,37,66,76,1,7,3,2,25,45,4,21,4,4,29,68,58
juan ignacio londero,andrea collarini,"French Open, Paris",28-May-18,Clay,Qualifying,172,233,0,2,12,9,2,31,42,12,22,3,8,22,51,65,0,5,2,3,23,32,6,19,0,5,21,64,50
rogerio dutra silva,andrej martin,"French Open, Paris",28-May-18,Clay,Qualifying,134,162,0,2,12,0,1,19,28,7,16,7,11,31,45,57,0,2,0,4,9,24,5,21,2,4,18,44,32
oscar otte,carlos berlocq,"French Open, Paris",28-May-18,Clay,Qualifying,156,171,0,2,14,3,0,31,39,18,32,3,11,32,83,81,1,13,2,0,38,62,13,21,3,4,22,71,73
sergiy stakhovsky,constant lestienne,"French Open, Paris",28-May-18,Clay,Qualifying,127,215,0,2,19,8,3,47,62,28,58,6,11,40,97,115,1,14,3,7,37,58,20,39,3,11,45,120,102
guido andreozzi,corentin denolly,"French Open, Paris",28-May-18,Clay,Qualifying,108,430,0,2,13,4,4,24,36,13,25,5,13,32,65,69,0,7,3,5,20,33,13,32,2,5,24,61,57
casper ruud,daniel elahi galan,"French Open, Paris",28-May-18,Clay,Qualifying,157,238,0,2,12,7,1,28,41,9,14,4,6,26,53,63,0,6,1,1,18,35,9,18,1,2,18,55,45
thomaz bellucci,daniel gimeno-traver,"French Open, Paris",28-May-18,Clay,Qualifying,278,212,0,2,13,2,2,29,39,14,27,4,7,28,61,71,0,7,1,2,28,47,5,14,2,5,23,66,56
elias ymer,facundo bagnis,"French Open, Paris",28-May-18,Clay,Qualifying,122,203,0,2,18,4,8,34,46,23,43,6,17,49,107,106,1,11,3,6,32,54,26,53,2,7,32,89,90
jaume munar,felix auger-aliassime,"French Open, Paris",28-May-18,Clay,Qualifying,155,178,0,2,12,0,1,28,38,10,17,4,7,29,63,67,0,6,4,6,23,35,11,28,1,4,17,55,51
denis kudla,geoffrey blancaneaux,"French Open, Paris",28-May-18,Clay,Qualifying,113,320,0,2,12,3,0,15,22,9,15,6,8,27,48,51,0,3,0,2,14,30,7,18,1,1,13,37,34
mohamed safwat,henri laaksonen,"French Open, Paris",28-May-18,Clay,Qualifying,182,137,0,2,12,2,1,23,33,19,28,3,9,29,62,71,0,5,0,0,18,35,15,27,0,2,19,61,52
adam pavlasek,hugo dellien,"French Open, Paris",28-May-18,Clay,Qualifying,185,145,0,2,12,5,0,25,32,5,14,6,13,31,56,61,0,4,0,0,19,41,6,15,2,5,16,46,41
goncalo oliveira,jan choinski,"French Open, Paris",28-May-18,Clay,Qualifying,218,268,0,2,13,2,1,35,48,7,14,4,25,50,114,92,1,11,1,6,42,70,22,44,3,3,20,62,84
bernard tomic,jay clarke,"French Open, Paris",28-May-18,Clay,Qualifying,206,224,0,2,12,4,0,24,38,20,30,4,5,26,52,70,0,4,2,5,17,25,9,27,0,8,24,68,50
carlos taberner,jurgen melzer,"French Open, Paris",28-May-18,Clay,Qualifying,213,.,0,2,16,1,1,37,71,16,26,7,13,45,91,98,1,15,4,6,28,45,18,46,8,13,44,97,90
duckhee lee,lorenzo sonego,"French Open, Paris",28-May-18,Clay,Qualifying,243,125,0,2,12,2,3,25,34,17,24,2,5,21,57,63,0,7,3,1,29,42,7,15,0,2,16,58,52
prajnesh gunneswaran,marcelo arevalo,"French Open, Paris",28-May-18,Clay,Qualifying,183,144,0,2,12,2,2,19,26,13,19,5,10,30,59,62,0,5,3,3,23,38,6,21,1,1,13,45,42
martin klizan,miomir kecmanovic,"French Open, Paris",28-May-18,Clay,Qualifying,117,200,0,2,19,2,6,44,67,19,44,6,11,45,110,108,1,16,3,2,47,73,18,37,4,6,48,111,113
ruben bemelmans,nino serdarusic,"French Open, Paris",28-May-18,Clay,Qualifying,110,201,0,2,12,4,3,23,31,8,14,5,9,30,61,61,0,5,2,3,26,40,5,21,1,4,14,45,45
peter polansky,pedja krstin,"French Open, Paris",28-May-18,Clay,Qualifying,124,254,0,2,12,8,2,26,32,13,25,4,7,26,51,65,0,6,1,7,15,25,10,26,1,1,18,57,43
marco trungelliti,pedro sousa,"French Open, Paris",28-May-18,Clay,Qualifying,190,120,0,2,13,2,2,34,54,16,29,4,9,40,86,90,0,10,1,3,26,52,20,34,3,11,33,83,79
jozef kovalik,reilly opelka,"French Open, Paris",28-May-18,Clay,Qualifying,146,142,0,2,16,5,2,39,42,17,25,2,15,44,116,100,1,14,13,3,46,65,26,51,1,1,11,67,83
zbynek mlynarik,stefano napolitano,"French Open, Paris",28-May-18,Clay,Qualifying,247,205,0,2,12,5,0,26,34,14,22,3,8,25,61,65,0,6,1,0,23,33,13,28,0,2,16,56,52
ernests gulbis,stefano travaglia,"French Open, Paris",28-May-18,Clay,Qualifying,160,143,0,2,18,8,7,39,48,24,43,4,12,44,103,107,1,11,6,5,36,48,23,55,1,2,28,91,87
dennis novak,taro daniel,"French Open, Paris",28-May-18,Clay,Qualifying,217,82,0,2,16,2,2,31,41,14,32,7,12,37,65,82,1,7,2,5,18,33,10,32,3,6,28,73,56
jurgen zopp,thanasi kokkinakis,"French Open, Paris",28-May-18,Clay,Qualifying,136,148,0,2,18,6,2,37,49,19,32,7,18,47,104,103,1,10,3,3,33,54,24,50,2,3,25,81,82
alessandro giannessi,tobias kamke,"French Open, Paris",28-May-18,Clay,Qualifying,199,223,0,2,13,1,1,33,45,13,19,3,15,40,85,86,0,8,1,6,23,40,22,45,1,2,18,64,63
santiago giraldo,uladzimir ignatik,"French Open, Paris",28-May-18,Clay,Qualifying,315,202,0,2,18,6,2,38,46,20,36,5,8,39,89,97,1,11,8,7,38,52,12,37,1,3,24,82,74
ilya ivashka,viktor galovic,"French Open, Paris",28-May-18,Clay,Qualifying,119,181,0,2,13,5,5,33,43,13,25,3,5,29,68,75,0,8,3,5,32,47,7,21,1,2,22,68,61
hubert hurkacz,yannick hanfmann,"French Open, Paris",28-May-18,Clay,Qualifying,188,138,0,2,14,4,0,47,63,16,23,0,0,21,76,84,0,12,6,3,37,44,18,32,0,5,23,86,78
simone bolelli,yasutaka uchiyama,"French Open, Paris",28-May-18,Clay,Qualifying,129,234,0,2,13,2,0,46,66,9,14,2,5,30,75,85,0,9,5,2,35,49,10,26,1,6,25,80,70
ernests gulbis,alessandro giannessi,"French Open, Paris",28-May-18,Clay,Qualifying,160,199,0,2,16,9,5,36,49,24,40,4,7,30,78,90,1,12,3,5,36,52,12,26,2,12,29,89,77
casper ruud,alexandre muller,"French Open, Paris",28-May-18,Clay,Qualifying,157,376,0,2,12,2,1,15,20,18,26,4,7,27,54,60,0,4,0,0,21,38,6,16,0,1,13,46,40
adam pavlasek,dennis novak,"French Open, Paris",28-May-18,Clay,Qualifying,185,217,0,2,13,7,2,42,60,14,25,2,8,31,81,87,0,10,2,2,32,51,18,30,1,3,29,85,79
jaume munar,duckhee lee,"French Open, Paris",28-May-18,Clay,Qualifying,155,243,0,2,19,3,4,47,69,20,48,7,25,73,144,140,1,13,1,6,49,87,22,57,4,13,50,117,121
bernard tomic,goncalo oliveira,"French Open, Paris",28-May-18,Clay,Qualifying,206,218,0,2,14,9,0,38,49,17,33,2,6,29,81,84,0,11,7,3,37,53,15,28,1,4,27,82,79
martin klizan,juan ignacio londero,"French Open, Paris",28-May-18,Clay,Qualifying,117,172,0,2,17,5,4,50,74,15,38,5,14,43,104,108,1,16,6,1,41,64,20,40,5,12,47,112,108
denis kudla,jurgen zopp,"French Open, Paris",28-May-18,Clay,Qualifying,113,136,0,2,12,9,0,25,35,8,17,5,8,25,41,58,0,3,2,1,12,28,4,13,1,2,19,52,35
hubert hurkacz,marco trungelliti,"French Open, Paris",28-May-18,Clay,Qualifying,188,190,0,2,16,2,2,38,52,13,29,5,10,43,98,94,1,13,0,4,32,56,23,42,4,4,30,81,85
guido andreozzi,mohamed safwat,"French Open, Paris",28-May-18,Clay,Qualifying,108,182,0,2,12,4,3,38,51,10,24,3,13,34,79,82,0,8,4,2,28,48,17,31,1,11,27,75,72
carlos taberner,oscar otte,"French Open, Paris",28-May-18,Clay,Qualifying,213,156,0,2,14,0,0,41,64,16,34,5,10,32,76,89,1,12,7,3,30,46,14,30,4,7,41,98,85
jozef kovalik,peter polansky,"French Open, Paris",28-May-18,Clay,Qualifying,146,124,0,2,14,5,4,37,40,21,33,0,4,31,88,89,0,12,5,3,37,51,20,37,0,1,15,73,72
elias ymer,prajnesh gunneswaran,"French Open, Paris",28-May-18,Clay,Qualifying,122,183,0,2,12,5,2,30,42,18,31,3,4,23,54,71,0,7,3,1,20,31,11,23,1,9,25,73,56
thomaz bellucci,ruben bemelmans,"French Open, Paris",28-May-18,Clay,Qualifying,278,110,0,2,15,4,0,39,54,17,32,3,8,36,90,92,1,13,5,3,32,48,22,42,2,4,30,86,84
ilya ivashka,sergiy stakhovsky,"French Open, Paris",28-May-18,Clay,Qualifying,119,127,0,2,18,7,5,45,62,19,36,5,8,36,90,100,1,13,7,3,32,46,22,44,2,4,34,98,88
santiago giraldo,simone bolelli,"French Open, Paris",28-May-18,Clay,Qualifying,315,129,0,2,12,3,1,17,20,16,24,5,7,29,49,62,0,2,0,2,13,26,7,23,0,4,11,44,31
rogerio dutra silva,zbynek mlynarik,"French Open, Paris",28-May-18,Clay,Qualifying,134,247,0,2,12,2,2,23,32,7,11,5,13,38,71,68,0,4,0,5,24,42,9,29,1,1,13,43,46
steve johnson,adrian mannarino,"French Open, Paris",28-May-18,Clay,First Round,46,26,0,3,19,6,6,39,47,31,48,4,7,33,86,103,0,10,3,5,39,52,14,34,0,9,25,95,78
kyle edmund,alex de minaur,"French Open, Paris",28-May-18,Clay,First Round,17,105,0,3,18,2,7,35,41,20,35,6,9,39,83,94,0,9,3,4,28,47,16,36,1,5,21,76,65
pablo cuevas,aljaz bedene,"French Open, Paris",28-May-18,Clay,First Round,75,66,0,3,18,5,5,34,50,24,43,7,13,43,80,101,0,9,1,3,19,34,18,46,3,7,35,93,72
karen khachanov,andreas haider-maurer,"French Open, Paris",28-May-18,Clay,First Round,38,412,0,3,19,17,2,47,56,15,27,5,10,40,90,102,0,12,4,6,32,46,18,44,2,3,21,83,71
richard gasquet,andreas seppi,"French Open, Paris",28-May-18,Clay,First Round,32,50,0,3,18,7,2,32,38,11,22,8,16,45,73,88,0,4,1,7,21,44,7,29,1,1,17,60,45
marco trungelliti,bernard tomic,"French Open, Paris",28-May-18,Clay,First Round,190,206,0,3,23,16,5,51,70,35,61,5,18,56,141,142,1,19,12,1,60,87,25,54,3,12,45,131,130
diego schwartzman,calvin hemery,"French Open, Paris",28-May-18,Clay,First Round,12,130,0,3,18,1,2,42,49,8,17,6,11,37,67,87,0,5,5,10,21,36,9,31,0,1,16,66,46
stefanos tsitsipas,carlos taberner,"French Open, Paris",28-May-18,Clay,First Round,39,213,0,3,25,8,2,58,70,39,66,5,13,61,156,158,1,19,0,6,80,111,15,45,1,5,39,136,134
lucas pouille,daniil medvedev,"French Open, Paris",28-May-18,Clay,First Round,16,53,0,3,18,9,2,37,45,19,31,5,9,41,89,97,0,9,4,6,25,43,23,46,1,4,20,76,68
jaume munar,david ferrer,"French Open, Paris",28-May-18,Clay,First Round,155,41,0,3,27,4,2,77,115,32,68,7,12,79,187,188,2,29,5,9,76,127,32,60,9,25,74,183,182
roberto bautista agut,denis istomin,"French Open, Paris",28-May-18,Clay,First Round,13,100,0,3,25,7,2,63,87,34,63,6,17,49,138,146,2,23,11,2,69,97,20,41,5,12,53,150,142
damir dzumhur,denis kudla,"French Open, Paris",28-May-18,Clay,First Round,29,113,0,3,18,1,1,41,58,17,27,6,8,45,91,103,0,8,1,4,29,49,17,42,1,10,27,85,73
elias ymer,dudi sela,"French Open, Paris",28-May-18,Clay,First Round,122,104,0,3,19,6,2,41,58,21,39,6,11,54,108,116,0,10,2,4,34,55,20,53,2,7,35,97,89
gael monfils,elliot benchetrit,"French Open, Paris",28-May-18,Clay,First Round,37,306,0,3,21,1,7,37,49,24,45,9,16,57,108,118,1,10,1,5,30,54,21,54,3,11,33,94,84
jan-lennard struff,evgeny donskoy,"French Open, Paris",28-May-18,Clay,First Round,71,79,0,3,18,5,4,20,27,26,37,8,16,44,77,90,0,4,3,3,21,44,12,33,1,5,18,64,51
sergiy stakhovsky,feliciano lopez,"French Open, Paris",28-May-18,Clay,First Round,127,33,0,3,18,5,2,36,50,16,33,8,15,51,95,103,0,8,7,7,28,47,16,48,3,11,31,83,75
mischa zverev,florian mayer,"French Open, Paris",28-May-18,Clay,First Round,64,90,0,3,19,8,2,50,59,19,37,4,6,28,73,97,0,9,4,2,31,46,14,27,0,9,27,96,72
sam querrey,frances tiafoe,"French Open, Paris",28-May-18,Clay,First Round,15,58,0,3,19,11,3,42,52,23,43,4,7,35,82,100,0,9,6,5,25,41,22,41,0,6,30,95,77
ernests gulbis,gilles muller,"French Open, Paris",28-May-18,Clay,First Round,160,34,0,3,20,9,7,47,66,30,50,5,9,46,116,123,1,17,10,7,45,61,25,55,3,16,39,116,109
radu albot,gregoire barrere,"French Open, Paris",28-May-18,Clay,First Round,97,197,0,3,23,5,8,51,78,17,43,9,12,56,121,124,2,20,6,7,45,83,20,38,8,15,53,121,118
dominic thiem,ilya ivashka,"French Open, Paris",28-May-18,Clay,First Round,8,119,0,3,18,1,3,36,49,12,29,8,14,43,77,91,0,7,0,8,26,41,8,36,2,6,30,78,64
corentin moutet,ivo karlovic,"French Open, Paris",28-May-18,Clay,First Round,141,92,0,3,20,4,3,58,71,22,29,2,5,25,94,105,0,14,26,9,56,64,13,30,0,4,20,100,89
jurgen zopp,jack sock,"French Open, Paris",28-May-18,Clay,First Round,136,14,0,3,29,14,0,75,97,25,52,6,19,70,175,170,2,24,11,4,74,116,31,59,4,8,49,149,154
marin cilic,james duckworth,"French Open, Paris",28-May-18,Clay,First Round,4,.,0,3,20,13,5,48,57,22,35,3,12,48,120,118,0,14,12,4,50,74,22,46,1,1,22,92,94
dusan lajovic,jiri vesely,"French Open, Paris",28-May-18,Clay,First Round,60,80,0,3,18,5,1,30,35,26,42,5,8,35,74,91,0,7,0,2,24,43,15,31,0,6,21,77,60
guido pella,joao sousa,"French Open, Paris",28-May-18,Clay,First Round,78,49,0,3,18,10,0,42,52,16,24,4,8,38,90,96,0,9,2,5,37,62,15,28,0,3,18,76,70
denis shapovalov,john millman,"French Open, Paris",28-May-18,Clay,First Round,25,59,0,3,19,4,5,35,46,23,39,6,12,45,99,103,0,11,2,3,38,62,16,37,2,4,27,85,81
casper ruud,jordan thompson,"French Open, Paris",28-May-18,Clay,First Round,157,91,0,3,24,11,3,57,84,23,49,8,15,59,133,139,2,20,3,5,59,94,15,39,6,12,53,133,127
pablo carreno busta,jozef kovalik,"French Open, Paris",28-May-18,Clay,First Round,11,146,0,3,24,4,1,65,97,27,52,6,14,48,120,140,1,18,7,1,51,67,21,53,4,10,57,149,129
martin klizan,laslo djere,"French Open, Paris",28-May-18,Clay,First Round,117,101,0,3,24,10,5,55,75,28,53,6,10,54,135,137,1,19,5,5,58,81,23,54,4,10,45,128,126
julien benneteau,leonardo mayer,"French Open, Paris",28-May-18,Clay,First Round,62,42,0,3,21,10,6,54,69,29,51,3,13,55,141,138,1,17,9,6,57,78,29,63,2,6,37,120,123
santiago giraldo,marcos baghdatis,"French Open, Paris",28-May-18,Clay,First Round,315,84,1,0,6,3,0,21,30,10,18,0,2,20,57,51,2,10,2,2,21,26,16,31,2,4,17,48,54
marco cecchinato,marius copil,"French Open, Paris",28-May-18,Clay,First Round,72,94,0,2,21,13,2,87,111,35,60,4,14,57,176,179,3,28,23,4,76,99,43,77,2,7,49,171,168
thomas fabbiano,matthew ebden,"French Open, Paris",28-May-18,Clay,First Round,115,73,0,3,26,3,3,65,106,30,53,9,21,76,172,171,2,21,15,9,76,113,20,59,6,18,64,159,160
kei nishikori,maxime janvier,"French Open, Paris",28-May-18,Clay,First Round,21,307,0,3,19,1,1,44,52,27,44,3,9,39,100,110,0,13,1,1,35,48,26,52,0,10,25,96,86
albert ramos-vinolas,mikhail kukushkin,"French Open, Paris",28-May-18,Clay,First Round,36,83,0,3,19,3,2,34,45,19,31,6,18,48,104,101,0,11,3,2,33,55,23,49,2,4,23,76,79
malek jaziri,mikhail youzhny,"French Open, Paris",28-May-18,Clay,First Round,63,98,0,3,23,5,5,52,72,39,84,7,20,61,141,152,2,18,5,7,43,73,37,68,5,18,65,156,145
adam pavlasek,mirza basic,"French Open, Paris",28-May-18,Clay,First Round,185,81,0,3,25,16,3,66,88,23,34,5,10,50,129,139,1,16,6,3,48,75,31,54,0,3,33,122,112
grigor dimitrov,mohamed safwat,"French Open, Paris",28-May-18,Clay,First Round,5,182,0,3,19,6,5,46,52,20,34,4,9,35,85,101,0,11,6,4,37,56,13,29,1,3,20,86,70
jared donaldson,nicolas jarry,"French Open, Paris",28-May-18,Clay,First Round,57,61,0,3,25,11,5,51,67,45,76,4,8,34,115,130,2,22,12,2,55,75,26,40,3,10,47,143,128
juan martin del potro,nicolas mahut,"French Open, Paris",28-May-18,Clay,First Round,6,116,0,3,19,9,2,41,57,24,37,5,10,38,93,103,1,13,3,3,42,56,13,37,2,4,29,94,84
gilles simon,nikoloz basilashvili,"French Open, Paris",28-May-18,Clay,First Round,65,77,0,3,24,15,2,52,66,28,52,6,18,65,149,145,1,15,4,9,47,80,37,69,1,5,38,118,122
john isner,noah rubin,"French Open, Paris",28-May-18,Clay,First Round,10,173,0,3,20,28,0,63,70,20,26,1,11,39,121,122,0,15,5,5,59,88,23,33,0,2,13,96,95
matteo berrettini,oscar otte,"French Open, Paris",28-May-18,Clay,First Round,96,156,0,3,22,4,2,51,59,20,32,5,12,41,106,112,1,14,4,5,44,57,21,49,1,2,20,91,85
fabio fognini,pablo andujar,"French Open, Paris",28-May-18,Clay,First Round,18,128,0,3,18,3,3,34,51,17,30,8,12,50,92,101,0,7,1,2,28,59,14,33,2,5,30,81,72
kevin anderson,paolo lorenzi,"French Open, Paris",28-May-18,Clay,First Round,7,74,0,3,18,18,4,39,44,13,24,6,15,45,89,97,0,7,0,4,27,47,17,42,1,3,16,68,60
cameron norrie,peter gojowczyk,"French Open, Paris",28-May-18,Clay,First Round,85,43,1,2,8,4,0,15,21,7,10,3,7,20,32,42,0,1,3,1,7,17,5,15,0,1,9,31,21
pierre-hugues herbert,peter polansky,"French Open, Paris",28-May-18,Clay,First Round,87,124,0,3,22,11,4,53,76,25,40,6,16,45,105,123,1,13,2,1,42,74,18,31,2,8,38,116,98
borna coric,philipp kohlschreiber,"French Open, Paris",28-May-18,Clay,First Round,40,24,0,3,21,10,2,52,62,26,43,3,8,40,112,118,1,16,4,3,52,67,20,45,1,3,27,105,99
